# module       x           y           angle  orient

XC5            24.260      2.500       0      R0
XC6            3.500       2.500       0      MY
XR9            42.020      2.500       90     MXR90
XR10           74.440      2.500       90     MXR90
XR13           91.150      2.500       90     R90
XR14           58.730      2.500       90     R90
MP23           121.150     2.500       90     R90
MP24           110.360     2.500       90     MXR90
XR26           44.520      17.425      0      MY
XR27           74.660      17.425      0      R0
XR30           3.500       30.285      0      MY
XR32           33.640      30.285      0      R0
MM33           73.330      30.285      180    R180
MM34           62.780      30.285      180    MX
