# module       x           y           angle  orient

XC5            47.360      2.500       0      R0
XC6            26.600      2.500       0      MY
XR9            114.650     2.500       0      MY
XR10           131.575     2.500       0      MY
XR13           148.500     2.500       0      R0
XR14           165.425     2.500       0      R0
MP23           68.120      2.500       0      R0
MP24           16.050      2.500       0      MY
XR26           118.360     19.210      0      MY
XR27           148.500     19.210      0      R0
XR30           88.220      19.210      0      MY
XR32           178.640     19.210      0      R0
MM33           78.670      2.500       0      R0
MM34           5.500       2.500       0      MY
