# net         layer  x1       y1       x2       y2       width

VDD          M1    156.000  10.000   69.000   10.000   0.050
VDD          M1    69.000   10.000   69.000   18.000   0.050
VDD          M1    4.000    2.000    4.000    19.000   0.050
VDD          M1    4.000    18.000   69.000   18.000   0.050
VDD          M1    16.000   3.000    16.000   18.000   0.050
VDD          M1    98.000   19.000   4.000    19.000   0.050
VDD          M1    68.000   3.000    68.000   2.000    0.050
VDD          M1    68.000   2.000    4.000    2.000    0.050
VDD          M1    169.000  3.000    156.000  3.000    0.050
VDD          M1    156.000  3.000    156.000  10.000   0.050
VDD          M2    152.000  3.000    152.000  10.000   0.050
VDD          M1    128.000  19.000   128.000  10.000   0.050
GND          M2    6.000    3.000    79.000   3.000    0.050
