# module       x           y           angle  orient

XC5            32.420      2.500       90     R90
XC6            16.050      2.500       90     MXR90
XR9            3.500       48.560      90     MXR90
XR10           63.565      31.850      0      MY
XR13           80.490      31.850      0      R0
XR14           140.770     48.560      90     R90
MP23           48.790      2.500       0      R0
MP24           5.500       2.500       0      MY
XR26           50.350      48.560      0      MY
XR27           80.490      48.560      0      R0
XR30           20.210      48.560      0      MY
XR32           110.630     48.560      0      R0
MM33           32.420      23.260      0      R0
MM34           21.870      23.260      0      MY
