# module       x           y           angle  orient

XC5            36.810      2.500       0      R0
XC6            16.050      2.500       0      MY
XR9            3.500       27.420      0      MY
XR10           50.565      27.420      0      MY
XR13           67.490      27.420      0      R0
XR14           114.555     27.420      0      R0
MP23           57.570      2.500       0      R0
MP24           5.500       2.500       0      MY
XR26           20.425      27.420      0      MY
XR27           84.415      27.420      0      R0
XR30           37.350      44.130      0      MY
XR32           67.490      44.130      0      R0
MM33           36.810      18.870      90     R90
MM34           26.220      18.870      90     MXR90
