# module       x           y           angle  orient

XC5            24.260      2.500       0      R0
XC6            3.500       2.500       0      MY
XR9            42.020      2.500       90     MXR90
XR10           123.060     16.870      0      MY
XR13           139.985     16.870      0      R0
XR14           58.730      2.500       90     R90
MP23           86.730      2.500       90     R90
MP24           75.940      2.500       90     MXR90
XR26           6.000       16.870      0      MY
XR27           36.140      16.870      0      R0
XR30           65.780      16.870      0      MY
XR32           95.920      16.870      0      R0
MM33           166.500     16.870      90     R90
MM34           155.910     16.870      90     MXR90
