# module       x           y           angle  orient

XC5            35.860      2.500       0      R0
XC6            15.100      2.500       0      MY
XR9            16.715      26.510      0      MY
XR10           33.640      26.510      0      MY
XR13           50.565      26.510      0      R0
XR14           67.490      26.510      0      R0
MP23           56.620      2.500       0      R0
MP24           4.550       2.500       0      MY
XR26           20.425      58.080      0      MY
XR27           50.565      58.080      0      R0
XR30           3.500       43.220      0      MY
XR32           67.490      43.220      0      R0
MM33           35.860      18.870      0      R0
MM34           25.310      18.870      0      MY
