# net         layer  x1       y1       x2       y2       width

GND          M2    125.000  17.000   128.000  17.000   0.050
GND          M1    128.000  17.000   136.000  17.000   0.050
VDD          M1    66.000   3.000    62.000   3.000    0.050
VDD          M1    107.000  3.000    93.000   3.000    0.050
VDD          M1    118.000  3.000    115.000  3.000    0.050
VDD          M2    118.000  3.000    103.000  3.000    0.050
VDD          M1    118.000  3.000    118.000  12.000   0.050
VDD          M1    66.000   3.000    66.000   17.000   0.050
VDD          M1    14.000   12.000   118.000  12.000   0.050
VDD          M1    16.000   17.000   16.000   12.000   0.050
VDD          M1    76.000   17.000   66.000   17.000   0.050
9            M1    93.000   9.000    67.000   9.000    1.000
9            M2    67.000   9.000    67.000   3.000    1.000
9            M2    67.000   3.000    9.000    3.000    1.000
8            M1    62.000   9.000    36.000   9.000    1.000
8            M1    36.000   9.000    36.000   1.000    1.000
8            M1    36.000   1.000    30.000   1.000    1.000
8            M1    30.000   1.000    30.000   3.000    1.000
