# module       x           y           angle  orient

XC5            24.260      2.500       0      R0
XC6            3.500       2.500       0      MY
XR9            123.060     16.870      0      MY
XR10           64.120      2.500       0      MY
XR13           81.045      2.500       0      R0
XR14           139.985     16.870      0      R0
MP23           109.020     2.500       0      R0
MP24           98.470      2.500       0      MY
XR26           6.000       16.870      0      MY
XR27           36.140      16.870      0      R0
XR30           65.780      16.870      0      MY
XR32           95.920      16.870      0      R0
MM33           54.570      2.500       0      R0
MM34           44.020      2.500       0      MY
