# module       x           y           angle  orient

XC5            32.420      2.500       90     R90
XC6            16.050      2.500       90     MXR90
XR9            3.500       46.760      0      MY
XR10           63.780      30.050      0      MY
XR13           80.705      30.050      0      R0
XR14           140.985     46.760      0      R0
MP23           32.420      23.260      0      R0
MP24           21.870      23.260      0      MY
XR26           50.565      46.760      0      MY
XR27           80.705      46.760      0      R0
XR30           20.425      46.760      0      MY
XR32           110.845     46.760      0      R0
MM33           48.790      2.500       0      R0
MM34           5.500       2.500       0      MY
