# net         layer  x1       y1       x2       y2       width

VDD          M2    6.000    3.000    5.000    3.000    0.050
VDD          M1    4.000    54.000   4.000    34.000   0.050
VDD          M1    4.000    34.000   31.000   34.000   0.050
VDD          M1    33.000   34.000   61.000   34.000   0.050
VDD          M1    31.000   34.000   31.000   28.000   0.050
VDD          M1    58.000   3.000    58.000   28.000   0.050
VDD          M1    58.000   28.000   5.000    28.000   0.050
VDD          M1    74.000   28.000   61.000   28.000   0.050
VDD          M1    36.000   34.000   36.000   28.000   0.050
VDD          M1    31.000   33.000   36.000   33.000   0.050
VDD          M1    5.000    3.000    5.000    28.000   0.050
VDD          M1    61.000   28.000   61.000   34.000   0.050
VDD          M2    57.000   28.000   57.000   34.000   0.050
VDD          M1    33.000   44.000   33.000   34.000   0.050
GND          M2    26.000   19.000   29.000   19.000   0.050
GND          M1    29.000   19.000   37.000   19.000   0.050
16           M2    47.000   3.000    59.000   3.000    1.000
16           M1    38.000   18.000   38.000   19.000   1.000
16           M1    38.000   19.000   47.000   19.000   1.000
16           M2    47.000   3.000    47.000   19.000   1.000
16           M2    23.000   28.000   23.000   18.000   1.000
16           M1    21.000   18.000   38.000   18.000   1.000
16           M1    21.000   9.000    21.000   18.000   1.000
16           M2    37.000   19.000   37.000   18.000   1.000
8            M1    74.000   34.000   74.000   35.000   1.000
8            M2    74.000   35.000   42.000   35.000   1.000
8            M2    42.000   35.000   42.000   3.000    1.000
