# module       x           y           angle  orient

XC5            36.810      2.500       0      R0
XC6            16.050      2.500       0      MY
XR9            19.650      27.460      0      MY
XR10           36.575      27.460      0      MY
XR13           53.500      27.460      0      R0
XR14           70.425      27.460      0      R0
MP23           57.570      2.500       0      R0
MP24           5.500       2.500       0      MY
XR26           23.360      44.170      0      MY
XR27           53.500      44.170      0      R0
XR30           3.500       44.170      90     MXR90
XR32           83.640      44.170      90     R90
MM33           36.810      18.870      0      R0
MM34           26.260      18.870      0      MY
