# module       x           y           angle  orient

XC5            32.420      2.500       90     R90
XC6            16.050      2.500       90     MXR90
XR9            3.500       48.560      0      MY
XR10           63.780      31.850      0      MY
XR13           80.705      31.850      0      R0
XR14           140.985     48.560      0      R0
MP23           48.790      2.500       0      R0
MP24           5.500       2.500       0      MY
XR26           50.565      48.560      0      MY
XR27           80.705      48.560      0      R0
XR30           20.425      48.560      0      MY
XR32           110.845     48.560      0      R0
MM33           32.420      23.260      0      R0
MM34           21.870      23.260      0      MY
