# module      pin      x        y        layer

MP8          B        0.880    1.177    M1
MP8          D        1.200    1.145    M1
MP8          G        0.720    1.178    M1
MP8          S        1.500    1.145    M1
MP15         B        0.880    1.177    M1
MP15         D        1.200    1.145    M1
MP15         G        0.720    1.178    M1
MP15         S        1.500    1.145    M1
