# net         layer  x1       y1       x2       y2       width

GND          M2    125.000  17.000   128.000  17.000   0.050
GND          M1    128.000  17.000   136.000  17.000   0.050
VDD          M1    118.000  3.000    84.000   3.000    0.050
VDD          M1    84.000   3.000    84.000   12.000   0.050
VDD          M1    65.000   6.000    65.000   11.000   0.050
VDD          M1    84.000   11.000   62.000   11.000   0.050
VDD          M1    16.000   17.000   16.000   12.000   0.050
VDD          M1    84.000   12.000   14.000   12.000   0.050
VDD          M1    76.000   17.000   62.000   17.000   0.050
VDD          M1    62.000   17.000   62.000   11.000   0.050
12           M1    125.000  17.000   107.000  17.000   1.000
12           M1    107.000  17.000   107.000  5.000    1.000
12           M2    107.000  3.000    107.000  15.000   1.000
12           M1    30.000   9.000    30.000   10.000   1.000
12           M2    30.000   10.000   30.000   12.000   1.000
12           M2    30.000   12.000   107.000  12.000   1.000
12           M1    106.000  17.000   106.000  15.000   1.000
12           M1    106.000  15.000   107.000  15.000   1.000
16           M2    118.000  5.000    113.000  5.000    1.000
16           M2    113.000  5.000    113.000  2.000    1.000
16           M2    118.000  3.000    118.000  5.000    1.000
16           M1    42.000   2.000    42.000   9.000    1.000
16           M2    28.000   2.000    113.000  2.000    1.000
16           M1    9.000    9.000    9.000    10.000   1.000
16           M1    9.000    10.000   28.000   10.000   1.000
16           M2    28.000   10.000   28.000   2.000    1.000
16           M2    136.000  17.000   136.000  5.000    1.000
16           M1    136.000  5.000    118.000  5.000    1.000
9            M1    93.000   9.000    85.000   9.000    1.000
9            M2    85.000   9.000    36.000   9.000    1.000
9            M1    36.000   9.000    36.000   1.000    1.000
9            M1    36.000   1.000    9.000    1.000    1.000
9            M1    9.000    1.000    9.000    3.000    1.000
8            M1    59.000   6.000    59.000   4.000    1.000
8            M2    59.000   4.000    30.000   4.000    1.000
8            M2    30.000   4.000    30.000   3.000    1.000
