# module       x           y           angle  orient

XC5            35.810      2.500       0      R0
XC6            15.050      2.500       0      MY
XR9            30.930      26.960      0      MY
XR10           47.855      26.960      0      MY
XR13           64.780      26.960      0      R0
XR14           81.705      26.960      0      R0
MP23           56.570      2.500       0      R0
MP24           4.500       2.500       0      MY
XR26           34.640      43.670      0      MY
XR27           64.780      43.670      0      R0
XR30           4.500       43.670      0      MY
XR32           94.920      43.670      0      R0
MM33           35.810      18.870      0      R0
MM34           25.260      18.870      0      MY
