# net         layer  x1       y1       x2       y2       width

VDD          M1    84.000   27.000   5.000    27.000   0.050
VDD          M1    46.000   27.000   46.000   43.000   0.050
VDD          M1    44.000   43.000   44.000   27.000   0.050
VDD          M1    14.000   43.000   57.000   43.000   0.050
VDD          M1    57.000   3.000    57.000   43.000   0.050
VDD          M1    5.000    3.000    5.000    27.000   0.050
GND          M1    26.000   19.000   36.000   19.000   0.050
12           M2    104.000  43.000   104.000  48.000   1.000
12           M1    20.000   11.000   47.000   11.000   1.000
12           M1    41.000   9.000    41.000   11.000   1.000
12           M2    104.000  48.000   47.000   48.000   1.000
12           M2    47.000   48.000   47.000   11.000   1.000
12           M2    5.000    3.000    20.000   3.000    1.000
12           M2    20.000   3.000    20.000   11.000   1.000
12           M2    26.000   19.000   26.000   16.000   1.000
12           M1    26.000   16.000   26.000   11.000   1.000
8            M1    84.000   33.000   58.000   33.000   1.000
8            M2    58.000   33.000   58.000   3.000    1.000
8            M2    58.000   3.000    41.000   3.000    1.000
9            M2    67.000   33.000   67.000   1.000    1.000
9            M1    67.000   1.000    20.000   1.000    1.000
9            M1    20.000   1.000    20.000   3.000    1.000
