# module       x           y           angle  orient

XC5            37.050      2.500       0      R0
XC6            16.290      2.500       0      MY
XR9            94.030      2.500       0      MY
XR10           110.955     2.500       0      MY
XR13           127.880     2.500       0      R0
XR14           144.805     2.500       0      R0
MP23           57.810      2.500       90     R90
MP24           5.500       2.500       90     MXR90
XR26           97.740      19.210      0      MY
XR27           127.880     19.210      0      R0
XR30           67.600      19.210      0      MY
XR32           158.020     19.210      0      R0
MM33           37.050      18.870      90     R90
MM34           26.460      18.870      90     MXR90
