# net         layer  x1       y1       x2       y2       width

VDD          M1    136.000  11.000   115.000  11.000   0.050
VDD          M1    117.000  16.000   117.000  2.000    0.050
VDD          M1    139.000  3.000    135.000  3.000    0.050
VDD          M1    135.000  3.000    135.000  11.000   0.050
VDD          M1    85.000   19.000   72.000   19.000   0.050
VDD          M1    199.000  19.000   136.000  19.000   0.050
VDD          M1    136.000  19.000   136.000  11.000   0.050
VDD          M1    115.000  19.000   115.000  11.000   0.050
VDD          M2    6.000    3.000    4.000    3.000    0.050
VDD          M1    72.000   19.000   72.000   16.000   0.050
VDD          M1    49.000   3.000    49.000   16.000   0.050
VDD          M1    49.000   16.000   117.000  16.000   0.050
VDD          M1    4.000    3.000    4.000    2.000    0.050
VDD          M1    4.000    2.000    117.000  2.000    0.050
GND          M1    22.000   24.000   33.000   24.000   0.050
8            M1    199.000  26.000   187.000  26.000   1.000
8            M2    187.000  26.000   39.000   26.000   1.000
8            M2    39.000   26.000   39.000   8.000    1.000
LOI+         M2    146.000  19.000   135.000  19.000   0.050
LOI+         M1    135.000  19.000   135.000  29.000   0.050
LOI+         M1    6.000    29.000   146.000  29.000   0.050
LOI+         M2    27.000   29.000   27.000   24.000   0.050
LOI+         M1    6.000    3.000    6.000    29.000   0.050
LOI+         M2    22.000   24.000   22.000   29.000   0.050
LOI-         M1    142.000  3.000    142.000  2.000    0.050
LOI-         M1    142.000  2.000    128.000  2.000    0.050
LOI-         M1    128.000  2.000    128.000  6.000    0.050
LOI-         M1    176.000  29.000   156.000  29.000   0.050
LOI-         M1    156.000  29.000   156.000  20.000   0.050
LOI-         M2    156.000  20.000   156.000  3.000    0.050
LOI-         M2    52.000   3.000    49.000   3.000    0.050
LOI-         M2    118.000  3.000    113.000  3.000    0.050
LOI-         M2    156.000  3.000    142.000  3.000    0.050
LOI-         M2    33.000   24.000   33.000   4.000    0.050
LOI-         M2    33.000   4.000    128.000  4.000    0.050
LOI-         M1    79.000   4.000    79.000   3.000    0.050
LOI-         M1    113.000  3.000    52.000   3.000    0.050
LOI-         M1    122.000  3.000    118.000  3.000    0.050
9            M1    139.000  9.000    136.000  9.000    1.000
9            M2    136.000  9.000    136.000  2.000    1.000
9            M2    136.000  2.000    16.000   2.000    1.000
9            M2    16.000   2.000    16.000   8.000    1.000
