# module       x           y           angle  orient

XC5            36.810      2.500       0      R0
XC6            16.050      2.500       0      MY
XR9            16.715      27.460      0      MY
XR10           33.640      27.460      0      MY
XR13           50.565      27.460      0      R0
XR14           67.490      27.460      0      R0
MP23           57.570      2.500       0      R0
MP24           5.500       2.500       0      MY
XR26           20.425      59.030      0      MY
XR27           50.565      59.030      0      R0
XR30           3.500       44.170      0      MY
XR32           67.490      44.170      0      R0
MM33           36.810      18.870      0      R0
MM34           26.260      18.870      0      MY
