# module       x           y           angle  orient

XC5            24.260      2.500       0      R0
XC6            3.500       2.500       0      MY
XR9            42.020      2.500       180    MX
XR10           74.870      2.500       90     MXR90
XR13           91.580      2.500       90     R90
XR14           58.945      2.500       180    R180
MP23           121.580     2.500       90     R90
MP24           110.790     2.500       90     MXR90
XR26           6.000       16.870      0      MY
XR27           36.140      16.870      0      R0
XR30           65.780      16.870      0      MY
XR32           95.920      16.870      0      R0
MM33           135.610     16.870      180    R180
MM34           125.060     16.870      180    MX
