# module       x           y           angle  orient

XC5            35.860      2.500       0      R0
XC6            15.100      2.500       0      MY
XR9            3.500       43.220      0      MY
XR10           63.780      26.510      0      MY
XR13           80.705      26.510      0      R0
XR14           140.985     43.220      0      R0
MP23           56.620      2.500       0      R0
MP24           4.550       2.500       0      MY
XR26           50.565      43.220      0      MY
XR27           80.705      43.220      0      R0
XR30           20.425      43.220      0      MY
XR32           110.845     43.220      0      R0
MM33           35.860      18.870      0      R0
MM34           25.310      18.870      0      MY
