# module       x           y           angle  orient

XC5            45.600      2.500       0      R0
XC6            24.840      2.500       0      MY
XR9            3.500       15.870      90     MXR90
XR10           50.350      15.870      0      MY
XR13           67.275      15.870      0      R0
XR14           114.340     15.870      90     R90
MP23           76.910      2.500       90     R90
MP24           3.500       2.500       90     MXR90
XR26           20.210      15.870      0      MY
XR27           84.200      15.870      0      R0
XR30           47.415      32.580      90     MXR90
XR32           67.275      32.580      90     R90
MM33           66.360      2.500       0      R0
MM34           14.290      2.500       0      MY
